lemma,definition,len_tokens,mean_log_freq,median_log_freq,miss_rate
quickly,with rapid movements,2,-4.937523383868723,-4.937523383868723,0.0
within,on the inside,0,,,1.0
obviously,unmistakably (`plain' is often used informally for `plainly'),6,-4.536601028225879,-4.454097389476195,0.33333333333333337
besides,making an additional point; anyway,4,-3.8257454821257273,-3.6310663242451797,0.0
especially,to a distinctly greater extent or degree than is common,5,-4.650836510157066,-4.714414917192351,0.0
often,many times at short intervals,4,-4.0227818130493915,-3.7128578037063105,0.0
everywhere,to or in any or all places; ; ; ; ; (`everyplace' is used informally for `everywhere'),5,-3.6263957459998863,-3.4518837791152897,0.4
usually,under normal conditions,2,-4.2245015368505925,-4.2245015368505925,0.0
immediately,without delay or hesitation; with no time intervening,4,-4.686550043197438,-5.235507401027034,0.0
twice,two times,1,-2.6977637436553072,-2.6977637436553072,0.0
upstairs,on a floor above,1,-4.01184895898461,-4.01184895898461,0.0
apart,separated or at a distance in place or position or time,5,-3.80155206986311,-4.091238058383637,0.0
suddenly,happening unexpectedly,2,-4.637485363685345,-4.637485363685345,0.0
closer,(comparative of `near' or `close') within a shorter distance,4,-4.0089427918789875,-4.039331632034914,0.25
indeed,in truth (often tends to intensify),4,-4.247752389490118,-4.1787147996331235,0.25
apparently,from appearances alone; ; ; -Thomas Hardy,3,-4.597883917416552,-4.933202783300926,0.0
otherwise,in other respects or ways,2,-3.466510774585931,-3.466510774585931,0.0
earlier,earlier in time; previously,3,-3.7657078512399984,-3.9715660787747606,0.0
however,despite anything to the contrary (usually following a concession),5,-4.398237374178334,-4.21241184635631,0.0
beyond,farther along in space or time or degree,5,-3.7463646920973632,-3.7711605914342408,0.0
faster,more quickly,1,-4.10081081350056,-4.10081081350056,0.0
simply,and nothing more,1,-3.0679524760035997,-3.0679524760035997,0.0
possibly,by chance,1,-3.6291726588980544,-3.6291726588980544,0.0
clearly,without doubt or question,2,-3.923791293820477,-3.923791293820477,0.0
somehow,in some unspecified way or manner; or by some unspecified means,5,-3.564663345910868,-2.94178177499679,0.4
hardly,only a very short time before; ; ; ; ; - W.B.Yeats,2,-3.3685476878451106,-3.3685476878451106,0.0
truly,in accordance with truth or fact or reality,4,-4.429086364616735,-4.1368866203548516,0.0
nowhere,not anywhere; in or at or to no place,2,-3.623253382934342,-3.623253382934342,0.0
nearly,(of actions or states) slightly short of or not quite accomplished; all but,6,-4.301242270820688,-4.131122092166371,0.0
deeply,to a great depth psychologically,3,-4.691938677632967,-5.078845439770117,0.0
honestly,(used as intensives reflecting the speaker's attitude) it is sincerely the case that,7,-4.692587019373185,-4.987228908414363,0.0
perfectly,completely and without qualification; used informally as intensifiers,5,-4.5505886715089625,-4.0286429730476545,0.4
lately,in the recent past,2,-4.293170265103255,-4.293170265103255,0.0
unfortunately,by bad luck,2,-3.567296574063387,-3.567296574063387,0.0
kinda,to some (great or small) extent,3,-4.085040180009577,-3.8409661523595613,0.0
barely,only a very short time before; ; ; ; ; - W.B.Yeats,2,-3.3685476878451106,-3.3685476878451106,0.0
sooner,comparatives of `soon' or `early',3,-3.7584657467996894,-3.7584657467996894,0.33333333333333337
surely,definitely or positively (`sure' is sometimes used informally for `surely'),7,-4.015224708610369,-3.904682996366113,0.1428571428571429
