lemma,definition,count
deutzia,"Any of a group of cultivated shrubs, of the genus , having white or pink flowers",12843
topmast,The highest mast in a fore-and-aft-rigged ship.,12841
noncom,"A non-commissioned officer, such as a sergeant (army) or petty officer (navy).",12839
steradian,"In the International System of Units, the derived unit of solid angle; the solid angle subtended at the centre of a sphere of radius r by a portion of the surface of the sphere that has area r2. Symbol: sr",12837
hunchbacked,Having an abnormally curved or hunched back,12834
dekko,A look; a glance.,12832
tameness,The state or quality of being tame.,12829
airburst,The explosion of a bomb (or similar weapon) or meteoroid in the air rather than on the ground.,12828
deferentially,In a deferential manner.,12827
areolar,Of or relating to areolae.,12817
lobsterman,A fisherman (male or female) for lobsters.,12817
accessorial,"Of or pertaining to an accessory, e.g. to a crime.",12815
catasetum,Any of the genus of showy epiphytic orchids.,12815
combativeness,The state of being combative.,12814
rusticated,Constructed so as to produce a jagged or heavily textured surface.,12811
passiveness,The state or condition of being passive; passivity.,12811
gloominess,The state or condition of being gloomy.,12806
aimlessness,"The state or quality of being aimless, or without purpose or direction.",12804
jobholder,Someone who is employed in a regular job,12798
vambrace,The piece of armor designed to protect the arm from the elbow to the wrist.,12793
jerkily,In a jerky manner.,12785
hellishly,In a hellish manner.,12784
suavely,In a suave manner.,12776
characin,"Any of many diverse fish, of the order , related to the carp and catfish and including the tetra, which were formerly all included in the family .",12775
distributary,That .,12770
contentiousness,The state of being contentious.,12769
jocose,given to jesting; habitually jolly,12769
crookedly,In a crooked manner.,12763
deckled,Having a rough edge (used especially of hand-made paper).,12761
caustically,In a caustic manner.,12754
coelom,A fluid-filled cavity within the body of an animal.,12753
wanter,"One who wants, or who wants something",12751
pleochroism,"The optical phenomenon in some coloured, transparent crystals (such as tourmaline and opal) in which the colour changes when viewed from different directions.",12750
hinderer,"One who, or that which, hinders.",12737
disconnectedness,The characteristic of being disconnected.,12733
fragmental,consisting of fragments,12730
griever,One who grieves.,12729
forfend,To prohibit; to forbid; to avert.,12724
defoliate,"To remove foliage from (one or more plants), most often with a chemical agent.",12718
insatiably,In an insatiable manner.,12717
antemortem,Having occurred or having been inflicted before death.,12714
triose,A sugar or saccharide containing three carbon atoms. Trioses are the smallest monosaccharides. Dihydroxyacetone and L-/D-glyceraldehyde are the only trioses.,12711
