lemma,definition,count
network,an interconnected system of things or people,286292299
code,a set of rules or principles or laws (especially written ones),284748658
website,a computer connected to the internet that maintains a series of web pages on the World Wide Web,283003825
issue,an important question that is in dispute and must be settled,278533430
listing,a database containing an ordered array of items (names or topics),275793437
return,"go or come back to place, condition, or activity where one has been before",274692381
local,relating to or applicable to or concerned with the administration of a city or town or district rather than a larger area,274425438
sign,a perceptible indication of something not immediately apparent (as a visible clue that something has happened),274190045
send,cause to go somewhere,274103587
section,a self-contained part of a larger composition (written or musical),273022935
place,put into a certain place or abstract location,272666539
guide,direct the course; determine the direction of travelling,272473073
special,unique or specific to a person or thing or category,271932364
country,a politically organized body of people under a single government,271875880
rating,an appraisal of the value of something,271635643
window,a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air,271243864
national,of or relating to or belonging to a nation or country,271078121
hour,a period of time equal to 1/24th of a day,270008667
level,a position on a scale of intensity or amount or quality,269924485
location,a point or extent in space,269714320
using,an act that exploits or victimizes someone (treats them unfairly),269448880
customer,someone who pays for goods or services,268724578
medium,a means or instrumentality for storing or communicating information,268720173
offer,"make available or accessible, provide or furnish",268316877
content,everything that is included in a collection and that is held or included in something,267246326
check,"examine so as to determine accuracy, quality, or condition",266979602
education,the activities of educating or instructing; activities that impart knowledge or skill,266924459
point,a geometric element that has position but no extension,265308093
friend,a person you know well and regard with affection and trust,265259952
board,a committee having supervisory powers,265238530
form,the phonological or orthographic sound or appearance of a word that can be used to describe or identify something,264956796
internet,a computer network consisting of a worldwide network of computer networks that use the TCP/IP network protocols to facilitate data transmission and exchange,264211493
posted,affix in a public place or for public notice,263851272
problem,a state of difficulty that needs to be resolved,262099644
law,the collection of rules imposed by authority,261576660
within,on the inside,261390908
house,a dwelling that serves as living quarters for one or more families,261206898
study,a detailed critical inspection,261003212
say,express in words,260543182
cost,the total spent for goods or services including money and time and labor,259978226
version,an interpretation of a matter from a particular viewpoint,257150986
shipping,the commercial enterprise of moving goods and materials,256521328
reserved,"hold back or set aside, especially for future use or contingency",256443074
end,"have an end, in a temporal, spatial, or quantitative sense; either spatial or metaphorical",254611045
index,a numerical scale used to compare variables with one another or with some reference number,254474242
story,a message that tells the particulars of an act or occurrence or course of events; presented in writing or drama or cinema or as a radio or television program,254373328
american,of or relating to the United States of America or its people or language or culture,254201886
open,cause to open or to become open,253740808
property,something owned; any tangible or intangible possession that is owned by someone,252549168
long,primarily temporal sense; being or indicating a relatively great or greater than average duration or passage of time or a duration as specified,252519588
security,the state of being free from danger or injury,252411152
based,having a base,252405204
application,the act of bringing something to bear; using it for a particular purpose,252100777
value,a numerical quantity measured or assigned or computed,252007531
shop,a mercantile establishment for the retail sale of goods or services,251035163
tool,an implement used in the practice of a vocation,250565605
black,being of the achromatic color of maximum darkness; having little or no hue owing to absorption of almost all incident light,250340969
model,a hypothetical description of a complex entity or process,247778926
teen,being of the age 13 through 19,247161257
county,(United Kingdom) a region created by territorial division for the purpose of local government,246765084
note,make mention of,246615652
power,possession of controlling influence,246570236
account,a record or narrative description of past events,245941633
even,used as an intensive especially to indicate something unexpected,245921460
course,education imparted in a series of lessons or meetings,245708368
thing,a special situation,245421553
control,exercise authoritative control or power over,245401760
condition,a state at a particular time,244920039
topic,the subject matter of a conversation or discussion,244134040
call,assign a specified (usually proper) proper name to,243270502
source,"the place where something begins, where it springs into being",242521687
much,(quantifier used with mass nouns) great in quantity or degree or extent,242326300
title,a heading that names a statute or legislative bill; may give a brief summary of the matters it deals with,241947903
room,an area within a building enclosed by walls and floor and ceiling,241753308
today,the present time or age,241364451
week,any period of seven consecutive days,240773809
class,a collection of things sharing a common attribute,239941008
personal,concerning or affecting a particular person or his or her private life and personality,239216761
south,the region of the United States lying to the south of the Mason-Dixon line,238644897
size,the physical magnitude of something (how big it is),238595520
plan,a series of steps to be carried out or goals to be accomplished,238041874
month,one of the twelve divisions of the calendar year,234220220
total,constituting the full quantity or extent; complete,233000421
uk,a monarchy in northwestern Europe occupying most of the British Isles; divided into England and Scotland and Wales and Northern Ireland; `Great Britain' is often used loosely to refer to the United Kingdom,232949779
author,writes (books or stories or articles or the like) professionally (for pay),232705196
directory,an alphabetical list of names and addresses,231770506
profile,an analysis (often in graphical form) representing the extent to which something exhibits various characteristics,231763975
water,binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent,231198140
related,being connected either logically or causally or by shared characteristics,231127472
care,feel concern or interest,230084008
standard,conforming to or constituting a standard of measurement or value; or of the usual or regularized or accepted kind,229356790
cd,a soft bluish-white ductile malleable toxic bivalent metallic element; occurs in association with zinc ores,228255403
think,judge or regard; look upon; judge,227891709
department,a specialized division of a large organization,227061740
gift,something acquired without compensation,226830325
reply,react verbally,226506692
feature,a prominent attribute or aspect of something,225250002
government,the organization that is the governing authority of a political unit,223929975
three,being one more than two,223681274
girl,a young woman,221464521
following,going or proceeding or coming after in the same direction,221359876
text,the words of something written,220875803
download,transfer a file or program from a central computer to a smaller computer or to a computer at a remote location,220626128
current,occurring in or belonging to the present time,220295284
access,the right to enter,219857863
history,the aggregate of past events,218943759
come,"move toward, travel toward something or somebody or approach something or somebody",218582922
north,the region of the United States lying to the north of the Mason-Dixon line,217855991
science,a particular branch of scientific knowledge,217104669
look,perceive with attention; direct one's gaze towards,216940037
big,above average in size or number or quantity or magnitude or extent,216690546
process,a particular course of action intended to achieve a result,216292958
including,"have as a part, be made up out of",214195457
love,have a great affection or liking for,213630147
gallery,spectators at a golf or tennis match,213580127
description,a statement that represents something in words,213558682
white,being of the achromatic color of maximum lightness; having little or no hue owing to reflection of almost all incident light,213547069
activity,any specific behavior,212318799
small,limited or below average in number or quantity or magnitude or extent,208573554
credit,approval,208258495
usa,North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America and the Hawaiian Islands in the Pacific Ocean; achieved independence in 1776,206281539
team,a cooperative unit (especially in sports),206071113
far,to a considerable degree; very much,205472321
action,something done (usually as opposed to something said),205281887
market,the world of commercial activity where goods and services are bought and sold,205257525
john,a room or building equipped with one or more toilets,205252946
visit,"go to see a place, as for entertainment",205050370
print,put into print,204972806
college,the body of faculty and students of a college,204747850
shopping,searching for or buying goods or services,204104275
old,(used especially of persons) having lived for a relatively long time or attained a specific age,204065052
record,make a record of; set down in permanent form,204006072
digital,displaying numbers rather than scale positions,202346767
main,most important element,202268783
archive,a depository containing historical records and documents,201798425
previous,(used especially of persons) of the immediate past,201692678
table,a set of data arranged in rows and columns,201430993
food,any substance that can be metabolized by an animal to give energy and build tissue,201294718
option,the right to buy or sell property at an agreed price; the right is purchased and if it is not exercised by a stated date the money is forfeited,199396630
second,coming next after the first in position in space or time or degree or magnitude,198648130
seller,someone who promotes or exchanges goods or services for money,198046426
stock,the capital raised by a corporation through the issue of shares entitling holders to an ownership interest (equity),197746908
party,an organization to gain political power,197655854
test,"put to the test, as for its quality, or give experimental use to",197335704
men,the force of workers available,196195250
non,negation of a word or group of words,196109547
quality,an essential and distinguishing attribute of something or someone; --Shakespeare,195318990
box,a (usually rectangular) container; may have a lid,195067923
insurance,promise of reimbursement in the case of loss; paid to people or companies so concerned about hazards that they have made prepayments to an insurance company,193804208
server,a person whose occupation is to serve at table (as in a restaurant),193118303
still,"with reference to action or condition; without change, interruption, or cessation",193091472
save,"save from ruin, destruction, or harm",192983730
another,any of various alternatives; some other,192535750
industry,the people or companies engaged in a particular kind of commercial enterprise,192166822
release,"release, as from one's grip",192150323
blog,a shared on-line journal where people can post diary entries about their personal experiences and hobbies,192019688
low,less than normal in degree or intensity or amount,191469718
money,the most common medium of exchange; functions as legal tender,191379987
library,a room where books are kept,190194821
thread,a fine cord of twisted fibers (of cotton or silk or wool or nylon etc.) used in sewing and weaving,189641822
word,a unit of language that native speakers can identify,189581484
every,(used of count nouns) each and all of the members of a group considered singly and without exception,189325890
person,a human being,189185797
private,confined to particular persons or groups or providing privacy,188233446
quote,repeat a passage from,187732723
little,limited or below average in number or quantity or magnitude or extent,187315582
compare,examine and note the similarities or differences of,186642026
give,"cause to have, in the abstract sense or physical sense",186337748
mean,mean or intend to express or convey,186258834
paper,a material made of cellulose pulp derived mainly from wood or rags or certain grasses,185964108
start,take the first step or steps in carrying out an action,185077147
man,an adult person who is male (as opposed to a woman),183287191
december,the last (12th) month of the year,183253204
include,"have as a part, be made up out of",182579275
material,the tangible substance that goes into the makeup of a physical object,182430238
press,exert pressure or force to or upon,182094235
york,the English royal house (a branch of the Plantagenet line) that reigned from 1461 to 1485; its emblem was a white rose,181990523
provide,give something useful or necessary to,181040994
star,(astronomy) a celestial body of hot gases that radiates energy derived from thermonuclear reactions in the interior,180850929
tax,charge against a citizen's person or property or activity for the support of government,180581323
solution,a homogeneous mixture of two or more substances; frequently (but not necessarily) a liquid solution,180104309
join,become part of; become a member of a group or organization,179876355
different,unlike in nature or quality or form or degree,179794224
learn,gain knowledge or skills,179428286
around,in the area or vicinity,178810033
accessory,"clothing that is worn or carried, but not part of your main clothing",177676875
payment,a sum of money paid or a claim discharged,177403310
canada,a nation in northern North America; the French were the first Europeans to settle in mainland Canada,177257057
training,activity leading to skilled behavior,177129348
estate,everything you own; all of your assets (whether real property or personal property) and liabilities,176019029
field,a piece of land cleared of trees and usually enclosed,175987073
language,a systematic means of communicating by the use of sounds or conventional symbols,175894011
gay,bright and pleasant; promoting a feeling of cheer,173768672
island,a land mass (smaller than a continent) that is surrounded by water,173586323
west,the countries of (originally) Europe and (now including) North America and South America,173467788
advanced,farther along in physical or mental development,173422161
human,characteristic of humanity,173302782
play,participate in games or sport,172531056
english,of or relating to or characteristic of England or its culture or people,172420235
tv,broadcasting visual images of stationary or moving objects; ;  - Ernie Kovacs,172386568
method,"a way of doing something, especially a systematic way; implies an orderly logical arrangement (usually in steps)",172297208
left,being or located on or directed toward the side of the body to the west when facing north,171821076
pc,a small digital computer based on a microprocessor and designed to be used by one person at a time,171741047
player,a person who participates in or is skilled at some game,171002771
hand,the (prehensile) extremity of the superior limb,170384388
register,record in writing; enter into a book of names or events or transactions,169784604
example,an item of information that is typical of a class or group,169394769
select,"pick out, select, or choose from a number of alternatives",168673045
loan,the temporary provision of money (usually at interest),168606882
fee,a fixed charge for a privilege or for professional services,168560792
park,a large area of land preserved in its natural state as public property,167523729
club,a team of professional baseball players who play and travel together,167310274
live,inhabit or live in; be an inhabitant of,166005029
large,above average in size or number or quantity or magnitude or extent,165895773
street,a thoroughfare (usually including sidewalks) that is lined with buildings,165067202
reference,a remark that calls attention to something or someone,164876016
act,a legal document codifying the result of deliberations of a committee or society or legislative body,164763850
single,being or characteristic of a single thing or person,164349118
june,the month following May and preceding July,163983036
however,despite anything to the contrary (usually following a concession),163957176
october,the month following September and preceding November,163363054
november,the month following October and preceding December,163339167
document,writing that provides information (especially information of an official nature),163141095
air,a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of,162081578
really,in accordance with truth or fact or reality,162033390
series,similar things placed in order or happening one after another,161518557
experience,the accumulation of knowledge or skill that results from direct participation in events or activities,161263150
request,express the need or desire for; ask for,160860157
key,metal device shaped in such a way that when it is inserted into the appropriate lock the lock's mechanism can be rotated,160578859
meeting,a formally arranged gathering,160121949
provided,give something useful or necessary to,159785849
yes,an affirmative,159704299
interest,a sense of concern with and curiosity about someone or something,159511351
required,necessary for relief or supply,159478972
hot,used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning,159287179
march,march in a procession,159166767
let,make it possible through a specific action or lack of action for something to happen,158939263
side,a place within a region identified relative to a center or reference location,158424564
effect,a phenomenon that follows and is caused by some previous phenomenon,157994239
september,the month following August and preceding October,157195709
cell,any small compartment,157195647
age,how long something has existed,157161625
july,the month following June and preceding August,156722594
body,"the entire structure of an organism (an animal, plant, or human being)",156451989
professional,engaged in a profession or engaging in as a profession or means of livelihood,156233340
building,a structure that has a roof and walls and stands more or less permanently in one place,155874441
going,the act of departing,155862313
yahoo,a person who is not very intelligent or interested in culture,155840867
cart,a heavy open wagon usually having two wheels and drawn by an animal,155715072
rule,a principle or condition that customarily governs behavior,155571063
memory,something that is remembered,155559004
medical,relating to the study or practice of medicine,155317159
deal,act on verbally or in some form of artistic expression,155018212
dec,the last (12th) month of the year,154434992
war,the waging of armed conflict against an enemy,154415579
camera,equipment for taking photographs (usually consisting of a lightproof box with a lens at one end and light-sensitive film at the other),153494271
mobile,migratory,153030853
staff,personnel who assist their superior in carrying out an assigned task,152894418
light,(physics) electromagnetic radiation that can produce a visual sensation,152000637
feedback,the process in which part of the output of a system is returned to its input in order to regulate its further output,151866435
night,the time after sunset and before sunrise while it is dark outside,151790146
less,used to form the comparative of some adjectives and adverbs,151616560
film,a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement,151297907
supply,give something useful or necessary to,150845529
lot,(often followed by `of') a large number or amount or extent,150766298
looking,appearing to be as specified; usually used as combining forms,150610176
unit,any division of quantity accepted as a standard of measurement or exchange,150226669
april,the month following March and preceding May,150064689
update,modernize or bring up to date,149623860
never,not ever; at no time in the past or future,149556758
blue,of the color intermediate between green and violet; having a color similar to that of a clear unclouded sky; - Helen Hunt Jackson,149548113
complete,having every necessary or normal part or component or step,149312237
performance,a dramatic or musical entertainment,148983029
working,actively engaged in paid work,148966565
financial,involving financial matters,148330257
share,assets belonging to or due to or contributed by an individual person or group,147265337
road,an open way (generally public) for travel or transportation,146894241
sell,exchange or deliver for money or its equivalent,146523990
court,an assembly (including one or more judges) to conduct judicial business,146511680
equipment,an instrumentality needed for an undertaking or to perform a service,145824145
function,(mathematics) a mathematical relation such that each element of a given set (the domain of the function) is associated with an element of another set (the range of the function),145695315
got,come into the possession of something concrete or abstract,145057782
america,North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America and the Hawaiian Islands in the Pacific Ocean; achieved independence in 1776,144604309
red,of a color at the end of the color spectrum (next to orange); resembling the color of blood or cherries or tomatoes or rubies,144089801
discussion,an extended communication (often interactive) dealing with some particular topic,143959160
run,"move fast by using one's feet, with one foot off the ground at any given time",143095077
legal,established by or founded upon law or official or accepted rules,142048771
recent,new,141800308
color,a visual attribute of things that results from the light they emit or transmit or reflect,140876675
individual,a human being,140247382
committee,a special group delegated to consider some matter;  - Milton Berle,139843183
social,relating to human society and its members,139831307
million,"(in Roman numerals, M written with a macron over it) denoting a quantity consisting of 1,000,000 items or units",139626516
august,the month following July and preceding September,139459917
watch,look attentively,139394441
pay,"give money, usually in exchange for goods or services",138704144
password,a secret word or phrase known only to a restricted group,138444293
range,an area in which something acts or operates or has power or control:,137747915
garden,a plot of ground where plants are cultivated,137469793
young,(used of living things especially persons) in an early period of life or development or growth,137460552
minute,a unit of time equal to 60 seconds or 1/60th of an hour,137303658
space,the unlimited expanse in which everything is located,137165342
faq,a list of questions that are frequently asked (about a given topic) along with their answers,137136639
create,make or cause to be or to become,137071122
track,a line or route along which something travels or moves,136387546
ii,the cardinal number that is the sum of one and one or a numeral representing this number,136356038
ca,a white metallic element that burns with a brilliant light; the fifth most abundant element in the earth's crust; an important component of most plants and animals,136131015
important,of great significance or value,136103455
journal,a daily written record of (usually personal) experiences and observations,135975476
magazine,a periodic publication containing pictures and stories and articles of interest to those who purchase it or subscribe to it,135319162
statement,a message that is stated or declared; a communication (oral or written) setting forth particulars or facts etc,135285872
drive,operate or control a vehicle,135242297
east,situated in or facing or moving toward the east,135077098
analysis,an investigation of the component parts of a whole and their relations in making up the whole,134925606
brand,a name given to a product or service,134504942
director,someone who controls resources and expenditures,134280802
official,a worker who holds or is invested with an office,133589896
ad,a public promotion of some product or service,133288003
keep,"keep in a certain state, position, or activity; e.g.,",133226982
idea,the content of cognition; the main thing you are thinking about,132768879
rental,property that is leased or rented out or let,132552857
notice,"discover or determine the existence, presence, or fact of",132472057
additional,further or added,132187702
latest,up to the immediate present; most recent or most up-to-date,131952173
head,the upper part of the human body or the front part of the body in animals; contains the face and brains,131716748
collection,several things grouped together or considered as a whole,131560281
region,the extended spatial location of something,131416712
baby,a very young child (birth to 1 year) who has not yet begun to walk or talk,131193976
sound,appear in a certain way,130998111
adult,a fully developed person from maturity onward,130430571
format,the organization of information according to preset specifications (usually for computer processing),130263008
opportunity,a possibility due to a favorable combination of circumstances,130066875
hard,not easy; requiring great physical or mental effort to accomplish or comprehend or endure,130054708
fact,a piece of information about circumstances that exist or events that have occurred,129849566
organization,a group of people who work together,129751066
four,being one more than three,129750688
communication,the activity of communicating; the activity of conveying information,129684090
texas,the second largest state; located in southwestern United States on the Gulf of Mexico,129434293
future,the time yet to come,129316946
oct,the month following September and preceding November,129301730
poker,fire iron consisting of a metal rod with a handle; used to stir a fire,129277247
status,the relative position or standing of things or especially persons in a society,129192453
agreement,the statement (oral or written) of an exchange of promises,129065137
browse,"vegetation (such as young shoots, twigs, and leaves) that is suitable for animals to eat",128815174
fax,duplicator that transmits the copy by wire or radio,127887421
bad,having undesirable or negative qualities,127799180
february,the month following January and preceding March,127704851
error,a wrong action attributable to bad judgment or ignorance or inattention,127639827
always,at all times; all the time and on every occasion,127634767
cover,provide with a covering or cause to be covered,127474302
major,of greater importance or stature or rank,127337348
audio,the audible part of a transmitted signal,127322321
write,produce a literary work,126645151
agency,an administrative unit of government,126580278
nov,the month following October and preceding December,126461152
edition,the form in which a text (especially a printed book) is published,126362162
ticket,a commercial document showing that the holder is entitled to something (as to ride on public transportation or to enter a public entertainment),126329190
given,acknowledged as a supposition,126028149
put,put into a certain place or abstract location,125910260
display,"to show, make visible or apparent",125675652
easy,posing no difficulty; requiring little effort,125548527
holiday,leisure time away from work devoted to rest or pleasure,125402112
database,an organized body of related information,125349445
tell,express in words,125088220
id,a state in the Rocky Mountains,125056667
china,a communist nation that covers a vast territory in eastern Asia; the most populous country in the world,124577282
style,how something is done or how it happens,124515883
step,any maneuver made as part of progress toward a goal,124401569
making,the act that results in something coming to be,124399532
association,a formal organization of people or groups of people,124349602
benefit,financial assistance in time of need,124284471
period,an amount of time,124198539
package,a collection of things wrapped or boxed together,123962683
tip,the extreme end of something; especially something pointed,123611108
needs,a condition requiring relief,123595776
possible,capable of happening or existing,123384606
common,belonging to or participated in by a community as a whole; public,123227086
might,physical strength,123196001
yet,up to the present time,123160529
artist,a person whose creative work shows sensitivity and imagination,122926384
sun,the star that is the source of light and heat for the planets in the solar system,122864560
fund,a reserve of money set aside for some purpose,122850683
try,make an effort or attempt,122742649
newsletter,report or open letter giving informal or confidential news of interest to a special group,122696851
mile,"a unit of length equal to 1,760 yards or 5,280 feet; exactly 1609.344 meters",122191270
bank,sloping land (especially the slope beside a body of water),122141532
practice,a customary way of operation or behavior,122048542
amount,a quantity of money,121624115
net,remaining after all deductions,121614179
present,temporal sense; intermediate between past and future; now existing or happening or in consideration,121513263
london,the capital and largest city of England; located on the Thames in southeastern England; financial and industrial and cultural center,121162339
washington,the capital of the United States in the District of Columbia and a tourist mecca; George Washington commissioned Charles L'Enfant to lay out the city in 1791,121006441
operation,the state of being in effect or being operative,120999551
god,the supernatural being conceived as the perfect and omnipotent and omniscient originator and ruler of the universe; the object of worship in monotheistic religions,120973538
delivery,the act of delivering or distributing something (as goods or mail),120935212
animal,a living organism characterized by voluntary movement,120745214
energy,(physics) a thermodynamic quantity equivalent to the capacity of a physical system to do work; the units of energy are joules or ergs,120637844
conference,a prearranged meeting for consultation or exchange of information or discussion (especially one with a formal agenda),120612498
become,enter or assume a certain state or condition,120495036
requirement,required activity,120491636
society,an extended social group having a distinctive cultural and economic organization,120479144
short,primarily temporal sense; indicating or being or seeming to be limited in duration,120201463
thought,the content of cognition; the main thing you are thinking about,119724175
porn,creative activity (writing or pictures or films etc.) of no literary or artistic value other than to stimulate sexual desire,119595989
california,a state in the western United States on the Pacific; the 3rd largest state; known for earthquakes,119425404
enter,to come or go into,119394206
entry,an item inserted in a written record,119196707
log,a segment of the trunk of a tree when stripped of branches,119174402
